strain_unl	strain_gfp	evol_partner	spores_prct_gfp	spef_gfp	spef_unl	exp_date	expt_category	
AX4	AX4_G	NONE	0.402	0.304	0.4115	31-May-17	r15_clonal_resistance	
CD1	rCD1.1	CD1	0.3555	1.225	1.085	31-May-17	r15_clonal_resistance	
CD1	rCD1.2	CD1	0.2395	1.24	1.085	31-May-17	r15_clonal_resistance	
CD1	rCD1.3	CD1	0.3192	0.635	1.085	31-May-17	r15_clonal_resistance	
CD1	rCD1.4	CD1	0.2336	0.4895	1.085	31-May-17	r15_clonal_resistance	
CD1	rCD1.5	CD1	0.3552	0.82	1.085	31-May-17	r15_clonal_resistance	
CD1	rCD1.6	CD1	0.3014	0.71	1.085	31-May-17	r15_clonal_resistance	
CD1	AX4_G	NONE	0.1091	0.304	1.085	31-May-17	r15_clonal_resistance	
AX4	rAX4.1	AX4	0.5437	1.16	1.145	6-Jun-17	r15_clonal_resistance	
AX4	rAX4.2	AX4	0.5309	1.18	1.145	6-Jun-17	r15_clonal_resistance	
AX4	rAX4.3	AX4	0.556	1.18	1.145	6-Jun-17	r15_clonal_resistance	
AX4	rAX4.4	AX4	0.4708	0.89	1.145	6-Jun-17	r15_clonal_resistance	
AX4	rAX4.5	AX4	0.4125	0.895	1.145	6-Jun-17	r15_clonal_resistance	
AX4	rAX4.6	AX4	0.5077	1.08	1.145	6-Jun-17	r15_clonal_resistance	
AX4	AX4_G	NONE	0.4359	1.27	1.145	6-Jun-17	r15_clonal_resistance	
CD1	rCD1.1	CD1	0.4794	0.635	1.39	6-Jun-17	r15_clonal_resistance	
CD1	rCD1.2	CD1	0.4591	0.83	1.39	6-Jun-17	r15_clonal_resistance	
CD1	rCD1.3	CD1	0.4409	0.805	1.39	6-Jun-17	r15_clonal_resistance	
CD1	rCD1.4	CD1	0.5412	0.695	1.39	6-Jun-17	r15_clonal_resistance	
CD1	rCD1.5	CD1	0.5736	0.96	1.39	6-Jun-17	r15_clonal_resistance	
CD1	rCD1.6	CD1	0.5411	1.31	1.39	6-Jun-17	r15_clonal_resistance	
CD1	AX4_G	NONE	0.3659	1.27	1.39	6-Jun-17	r15_clonal_resistance	
CD2	rCD2.1	CD2	0.3106	0.88	1.055	6-Jun-17	r15_clonal_resistance	
CD2	rCD2.2	CD2	0.4253	0.845	1.055	6-Jun-17	r15_clonal_resistance	
CD2	rCD2.3	CD2	0.3278	0.85	1.055	6-Jun-17	r15_clonal_resistance	
CD2	rCD2.4	CD2	0.306	0.795	1.055	6-Jun-17	r15_clonal_resistance	
CD2	rCD2.5	CD2	0.3484	0.77	1.055	6-Jun-17	r15_clonal_resistance	
CD2	rCD2.6	CD2	0.1253	0.89	1.055	6-Jun-17	r15_clonal_resistance	
CD2	AX4_G	NONE	0.2251	1.27	1.055	6-Jun-17	r15_clonal_resistance	
CD3	rCD3.1	CD3	0.4609	1.025	1.01	6-Jun-17	r15_clonal_resistance	
CD3	rCD3.2	CD3	0.5064	0.93	1.01	6-Jun-17	r15_clonal_resistance	
CD3	rCD3.3	CD3	0.5101	0.86	1.01	6-Jun-17	r15_clonal_resistance	
CD3	rCD3.4	CD3	0.4762	0.905	1.01	6-Jun-17	r15_clonal_resistance	
CD3	rCD3.5	CD3	0.4969	1.14	1.01	6-Jun-17	r15_clonal_resistance	
CD3	rCD3.6	CD3	0.4425	1.055	1.01	6-Jun-17	r15_clonal_resistance	
CD3	AX4_G	NONE	0.3753	1.27	1.01	6-Jun-17	r15_clonal_resistance	
CD4	rCD4.1	CD4	0.3008	0.915	1.255	6-Jun-17	r15_clonal_resistance	
CD4	rCD4.2	CD4	0.3261	0.885	1.255	6-Jun-17	r15_clonal_resistance	
CD4	rCD4.3	CD4	0.325	0.73	1.255	6-Jun-17	r15_clonal_resistance	
CD4	rCD4.4	CD4	0.2486	0.815	1.255	6-Jun-17	r15_clonal_resistance	
CD4	rCD4.5	CD4	0.3676	1.245	1.255	6-Jun-17	r15_clonal_resistance	
CD4	rCD4.6	CD4	0.33	0.955	1.255	6-Jun-17	r15_clonal_resistance	
CD4	AX4_G	NONE	0.3132	1.27	1.255	6-Jun-17	r15_clonal_resistance	
AX4	rAX4.1	AX4	0.6879	1.03	2.025	9-Jun-17	r15_clonal_resistance	
AX4	rAX4.2	AX4	0.6828	1.29	2.025	9-Jun-17	r15_clonal_resistance	
AX4	rAX4.3	AX4	0.7127	1.015	2.025	9-Jun-17	r15_clonal_resistance	
AX4	rAX4.4	AX4	0.4667	0.382	2.025	9-Jun-17	r15_clonal_resistance	
AX4	rAX4.5	AX4	0.6878	1.125	2.025	9-Jun-17	r15_clonal_resistance	
AX4	rAX4.6	AX4	0.668	0.775	2.025	9-Jun-17	r15_clonal_resistance	spef_mix no development
AX4	AX4_G	NONE	0.6367	0.55	2.025	9-Jun-17	r15_clonal_resistance	
CD1	rCD1.1	CD1	0.4798	0.89	1.375	9-Jun-17	r15_clonal_resistance	
CD1	rCD1.2	CD1	0.5381	0.965	1.375	9-Jun-17	r15_clonal_resistance	
CD1	rCD1.3	CD1	0.5533	0.4435	1.375	9-Jun-17	r15_clonal_resistance	
CD1	rCD1.4	CD1	0.5584	0.6	1.375	9-Jun-17	r15_clonal_resistance	
CD1	rCD1.5	CD1	0.5158	1.09	1.375	9-Jun-17	r15_clonal_resistance	
CD1	rCD1.6	CD1	0.4912	1.25	1.375	9-Jun-17	r15_clonal_resistance	
CD1	AX4_G	NONE	0.4805	0.55	1.375	9-Jun-17	r15_clonal_resistance	
CD2	rCD2.1	CD2	0.472	0.64	1.0575	9-Jun-17	r15_clonal_resistance	
CD2	rCD2.2	CD2	0.6094	0.67	1.0575	9-Jun-17	r15_clonal_resistance	
CD2	rCD2.3	CD2	0.4818	0.52	1.0575	9-Jun-17	r15_clonal_resistance	
CD2	rCD2.4	CD2	0.4918	0.505	1.0575	9-Jun-17	r15_clonal_resistance	
CD2	rCD2.5	CD2	0.5118	0.93	1.0575	9-Jun-17	r15_clonal_resistance	
CD2	rCD2.6	CD2	0.3315	0.1195	1.0575	9-Jun-17	r15_clonal_resistance	
CD2	AX4_G	NONE	0.4372	0.55	1.0575	9-Jun-17	r15_clonal_resistance	
CD3	rCD3.1	CD3	0.4711	0.995	1.3	9-Jun-17	r15_clonal_resistance	
CD3	rCD3.2	CD3	0.4296	0.675	1.3	9-Jun-17	r15_clonal_resistance	
CD3	rCD3.3	CD3	0.437	1.04	1.3	9-Jun-17	r15_clonal_resistance	
CD3	rCD3.4	CD3	0.4171	0.585	1.3	9-Jun-17	r15_clonal_resistance	
CD3	rCD3.5	CD3	0.4892	0.895	1.3	9-Jun-17	r15_clonal_resistance	
CD3	rCD3.6	CD3	0.4672	0.83	1.3	9-Jun-17	r15_clonal_resistance	
CD3	AX4_G	NONE	0.4128	0.55	1.3	9-Jun-17	r15_clonal_resistance	
CD4	rCD4.1	CD4	0.416	0.74	1.325	9-Jun-17	r15_clonal_resistance	
CD4	rCD4.2	CD4	0.5038	0.91	1.325	9-Jun-17	r15_clonal_resistance	
CD4	rCD4.3	CD4	0.5135	1.095	1.325	9-Jun-17	r15_clonal_resistance	
CD4	rCD4.4	CD4	0.2772	1.11	1.325	9-Jun-17	r15_clonal_resistance	
CD4	rCD4.5	CD4	0.4995	1.275	1.325	9-Jun-17	r15_clonal_resistance	
CD4	rCD4.6	CD4	0.4857	0.985	1.325	9-Jun-17	r15_clonal_resistance	
CD4	AX4_G	NONE	0.3948	0.55	1.325	9-Jun-17	r15_clonal_resistance	
AX4	rAX4.1	AX4	0.51	0.8125	0.8325	26-Jun-17	r15_clonal_resistance	
AX4	rAX4.2	AX4	0.5305	1.005	0.8325	26-Jun-17	r15_clonal_resistance	
AX4	rAX4.3	AX4	0.6441	0.76	0.8325	26-Jun-17	r15_clonal_resistance	
AX4	rAX4.4	AX4	0.3925	0.8675	0.8325	26-Jun-17	r15_clonal_resistance	
AX4	rAX4.5	AX4	0.4939	1.1875	0.8325	26-Jun-17	r15_clonal_resistance	
AX4	rAX4.6	AX4	0.4462	0.725	0.8325	26-Jun-17	r15_clonal_resistance	
AX4	AX4_G	NONE	0.5363	0.6925	0.8325	26-Jun-17	r15_clonal_resistance	
CD1	rCD1.1	CD1	0.3974	1.05	0.86	26-Jun-17	r15_clonal_resistance	
CD1	rCD1.2	CD1	0.3492	0.71	0.86	26-Jun-17	r15_clonal_resistance	
CD1	rCD1.3	CD1	0.3585	0.8375	0.86	26-Jun-17	r15_clonal_resistance	
CD1	rCD1.4	CD1	0.3899	0.665	0.86	26-Jun-17	r15_clonal_resistance	
CD1	rCD1.5	CD1	0.4459	0.92	0.86	26-Jun-17	r15_clonal_resistance	
CD1	rCD1.6	CD1	0.4693	1.0825	0.86	26-Jun-17	r15_clonal_resistance	
CD1	AX4_G	NONE	0.4324	0.6925	0.86	26-Jun-17	r15_clonal_resistance	
CD2	rCD2.1	CD2	0.4101	1.05	0.74	26-Jun-17	r15_clonal_resistance	
CD2	rCD2.2	CD2	0.4868	1.4325	0.74	26-Jun-17	r15_clonal_resistance	
CD2	rCD2.3	CD2	0.4643	1.215	0.74	26-Jun-17	r15_clonal_resistance	
CD2	rCD2.4	CD2	0.4179	1.35	0.74	26-Jun-17	r15_clonal_resistance	
CD2	rCD2.5	CD2	0.4383	1.2325	0.74	26-Jun-17	r15_clonal_resistance	
CD2	rCD2.6	CD2	0.1949	0.4325	0.74	26-Jun-17	r15_clonal_resistance	
CD2	AX4_G	NONE	0.4106	0.6925	0.74	26-Jun-17	r15_clonal_resistance	
CD3	rCD3.1	CD3	0.4423	0.875	0.3475	26-Jun-17	r15_clonal_resistance	
CD3	rCD3.2	CD3	0.511	0.98	0.3475	26-Jun-17	r15_clonal_resistance	
CD3	rCD3.3	CD3	0.5314	0.8325	0.3475	26-Jun-17	r15_clonal_resistance	
CD3	rCD3.4	CD3	0.4116	0.7775	0.3475	26-Jun-17	r15_clonal_resistance	
CD3	rCD3.5	CD3	0.4255	1.0125	0.3475	26-Jun-17	r15_clonal_resistance	
CD3	rCD3.6	CD3	0.4815	1.015	0.3475	26-Jun-17	r15_clonal_resistance	
CD3	AX4_G	NONE	0.4749	0.6925	0.3475	26-Jun-17	r15_clonal_resistance	
CD4	rCD4.1	CD4	0.355	0.85	1	26-Jun-17	r15_clonal_resistance	
CD4	rCD4.2	CD4	0.4712	0.83	1	26-Jun-17	r15_clonal_resistance	
CD4	rCD4.3	CD4	0.4457	0.9	1	26-Jun-17	r15_clonal_resistance	
CD4	rCD4.4	CD4	0.3265	0.195	1	26-Jun-17	r15_clonal_resistance	
CD4	rCD4.5	CD4	0.4743	0.95	1	26-Jun-17	r15_clonal_resistance	
CD4	rCD4.6	CD4	0.3798	0.8475	1	26-Jun-17	r15_clonal_resistance	
CD4	AX4_G	NONE	0.4476	0.6925	1	26-Jun-17	r15_clonal_resistance	
AX4	rAX4.1	AX4	0.4722	0.6388	0.7375	3-Jul-17	r15_clonal_resistance	
AX4	rAX4.2	AX4	0.5095	0.6475	0.7375	3-Jul-17	r15_clonal_resistance	
AX4	rAX4.3	AX4	0.5467	0.6063	0.7375	3-Jul-17	r15_clonal_resistance	
AX4	rAX4.4	AX4	0.3811	0.3375	0.7375	3-Jul-17	r15_clonal_resistance	
AX4	rAX4.5	AX4	0.418	0.7975	0.7375	3-Jul-17	r15_clonal_resistance	
AX4	rAX4.6	AX4	0.4378	0.59	0.7375	3-Jul-17	r15_clonal_resistance	
AX4	AX4_G	NONE	0.435	0.5325	0.7375	3-Jul-17	r15_clonal_resistance	
CD1	rCD1.1	CD1	0.3596	0.4675	0.9888	3-Jul-17	r15_clonal_resistance	
CD1	rCD1.2	CD1	0.3665	0.4425	0.9888	3-Jul-17	r15_clonal_resistance	
CD1	rCD1.3	CD1	0.3396	0.4363	0.9888	3-Jul-17	r15_clonal_resistance	
CD1	rCD1.4	CD1	0.3221	0.32	0.9888	3-Jul-17	r15_clonal_resistance	
CD1	rCD1.5	CD1	0.4375	0.7663	0.9888	3-Jul-17	r15_clonal_resistance	
CD1	rCD1.6	CD1	0.3842	0.355	0.9888	3-Jul-17	r15_clonal_resistance	
CD1	AX4_G	NONE	0.3594	0.5325	0.9888	3-Jul-17	r15_clonal_resistance	
CD2	rCD2.1	CD2	0.413	0.5838	0.6888	3-Jul-17	r15_clonal_resistance	
CD2	rCD2.2	CD2	0.5306	1.4375	0.6888	3-Jul-17	r15_clonal_resistance	
CD2	rCD2.3	CD2	0.3552	0.4325	0.6888	3-Jul-17	r15_clonal_resistance	
CD2	rCD2.4	CD2	0.5032	0.5988	0.6888	3-Jul-17	r15_clonal_resistance	
CD2	rCD2.5	CD2	0.4974	0.6713	0.6888	3-Jul-17	r15_clonal_resistance	
CD2	rCD2.6	CD2	0.2511	0.1575	0.6888	3-Jul-17	r15_clonal_resistance	
CD2	AX4_G	NONE	0.3894	0.5325	0.6888	3-Jul-17	r15_clonal_resistance	
CD3	rCD3.1	CD3	0.4438	0.6525	0.9	3-Jul-17	r15_clonal_resistance	
CD3	rCD3.2	CD3	0.4045	0.6463	0.9	3-Jul-17	r15_clonal_resistance	
CD3	rCD3.3	CD3	0.4945	0.7375	0.9	3-Jul-17	r15_clonal_resistance	
CD3	rCD3.4	CD3	0.4095	0.3713	0.9	3-Jul-17	r15_clonal_resistance	
CD3	rCD3.5	CD3	0.3912	0.8213	0.9	3-Jul-17	r15_clonal_resistance	
CD3	rCD3.6	CD3	0.3829	0.8213	0.9	3-Jul-17	r15_clonal_resistance	
CD3	AX4_G	NONE	0.3708	0.5325	0.9	3-Jul-17	r15_clonal_resistance	
CD4	rCD4.1	CD4	0.4581	0.7425	0.845	3-Jul-17	r15_clonal_resistance	
CD4	rCD4.2	CD4	0.5026	0.5138	0.845	3-Jul-17	r15_clonal_resistance	
CD4	rCD4.3	CD4	0.4903	0.4038	0.845	3-Jul-17	r15_clonal_resistance	
CD4	rCD4.4	CD4	0.3562	0.3013	0.845	3-Jul-17	r15_clonal_resistance	
CD4	rCD4.5	CD4	0.5165	0.56	0.845	3-Jul-17	r15_clonal_resistance	
CD4	rCD4.6	CD4	0.389	0.34	0.845	3-Jul-17	r15_clonal_resistance	
CD4	AX4_G	NONE	0.4259	0.5325	0.845	3-Jul-17	r15_clonal_resistance	
AX4	rAX4.1	AX4	0.6775	1.025	0.7175	25-Jul-17	r15_clonal_resistance	
AX4	rAX4.2	AX4	0.6813	1.1575	0.7175	25-Jul-17	r15_clonal_resistance	
AX4	rAX4.3	AX4	0.7311	0.82	0.7175	25-Jul-17	r15_clonal_resistance	
AX4	rAX4.4	AX4	0.613	0.88	0.7175	25-Jul-17	r15_clonal_resistance	
AX4	rAX4.5	AX4	0.7409	0.4175	0.7175	25-Jul-17	r15_clonal_resistance	
AX4	rAX4.6	AX4	0.6743	1.2175	0.7175	25-Jul-17	r15_clonal_resistance	
AX4	AX4_G	NONE	0.3727	0.5725	0.7175	25-Jul-17	r15_clonal_resistance	
CD1	rCD1.1	CD1	0.4063	0.9775	0.9025	25-Jul-17	r15_clonal_resistance	
CD1	rCD1.2	CD1	0.33	0.8425	0.9025	25-Jul-17	r15_clonal_resistance	
CD1	rCD1.3	CD1	0.4137	1.0875	0.9025	25-Jul-17	r15_clonal_resistance	
CD1	rCD1.4	CD1	0.3909	1.0675	0.9025	25-Jul-17	r15_clonal_resistance	
CD1	rCD1.5	CD1	0.4591	1.09	0.9025	25-Jul-17	r15_clonal_resistance	
CD1	rCD1.6	CD1	0.4149	1.085	0.9025	25-Jul-17	r15_clonal_resistance	
CD1	AX4_G	NONE	0.2245	0.5725	0.9025	25-Jul-17	r15_clonal_resistance	
CD2	rCD2.1	CD2	0.4606	0.8325	0.97	25-Jul-17	r15_clonal_resistance	
CD2	rCD2.2	CD2	0.4975	0.8875	0.97	25-Jul-17	r15_clonal_resistance	
CD2	rCD2.3	CD2	0.4689	0.8025	0.97	25-Jul-17	r15_clonal_resistance	
CD2	rCD2.4	CD2	0.426	1.0025	0.97	25-Jul-17	r15_clonal_resistance	
CD2	rCD2.5	CD2	0.5055	1.0075	0.97	25-Jul-17	r15_clonal_resistance	
CD2	rCD2.6	CD2	0.3168	0.7625	0.97	25-Jul-17	r15_clonal_resistance	
CD2	AX4_G	NONE	0.2477	0.5725	0.97	25-Jul-17	r15_clonal_resistance	
CD3	rCD3.1	CD3	0.4612	1.0175	1.08	25-Jul-17	r15_clonal_resistance	
CD3	rCD3.2	CD3	0.4993	0.8925	1.08	25-Jul-17	r15_clonal_resistance	
CD3	rCD3.3	CD3	0.5254	1.07	1.08	25-Jul-17	r15_clonal_resistance	
CD3	rCD3.4	CD3	0.4416	0.91	1.08	25-Jul-17	r15_clonal_resistance	
CD3	rCD3.5	CD3	0.4728	0.8775	1.08	25-Jul-17	r15_clonal_resistance	
CD3	rCD3.6	CD3	0.4793	0.7225	1.08	25-Jul-17	r15_clonal_resistance	
CD3	AX4_G	NONE	0.2891	0.5725	1.08	25-Jul-17	r15_clonal_resistance	
CD4	rCD4.1	CD4	0.4131	1.0625	1.23	25-Jul-17	r15_clonal_resistance	
CD4	rCD4.2	CD4	0.4828	1.105	1.23	25-Jul-17	r15_clonal_resistance	
CD4	rCD4.3	CD4	0.4544	0.865	1.23	25-Jul-17	r15_clonal_resistance	
CD4	rCD4.4	CD4	0.2901	0.36	1.23	25-Jul-17	r15_clonal_resistance	
CD4	rCD4.5	CD4	0.5384	1.24	1.23	25-Jul-17	r15_clonal_resistance	
CD4	rCD4.6	CD4	0.3716	0.8675	1.23	25-Jul-17	r15_clonal_resistance	
CD4	AX4_G	NONE	0.1854	0.5725	1.23	25-Jul-17	r15_clonal_resistance	
AX4	AX4_G	NONE	0.1968	0.315	0.5925	14/12/17	cross	
AX4	AX4_G	NONE	0.5026	0.7594	0.8219	12/12/17	cross	
AX4	AX4_G	NONE	0.4759	0.4075	0.33	13/12/17	cross	
AX4	AX4_G	NONE	0.3442	0.3877	0.945	11/12/17	cross	
AX4	AX4_G	NONE	0.2733	2.1925	1.025	15/12/17	cross	
AX4	rAX4.1	AX4	0.5342	1.37	1.025	15/12/17	cross	
AX4	rAX4.2	AX4	0.4001	1.085	1.025	15/12/17	cross	
AX4	rAX4.3	AX4	0.5405	1.295	1.025	15/12/17	cross	
AX4	rAX4.4	AX4	0.3498	0.2925	1.025	15/12/17	cross	
AX4	rAX4.5	AX4	0.1923	1.515	1.025	15/12/17	cross	
AX4	rAX4.6	AX4	0.4827	1.9225	1.025	15/12/17	cross	
AX4	rCD1.1	CD1	0.4457	0.78	1.025	15/12/17	cross	
AX4	rCD1.2	CD1	0.3859	0.84	1.025	15/12/17	cross	
AX4	rCD1.3	CD1	0.4007	0.5025	1.025	15/12/17	cross	
AX4	rCD1.4	CD1	0.6178	0.5125	1.025	15/12/17	cross	
AX4	rCD1.5	CD1	0.3201	0.4325	1.025	15/12/17	cross	
AX4	rCD1.6	CD1	0.4434	0.6125	1.025	15/12/17	cross	
AX4	rCD2.1	CD2	0.4541	0.6175	1.025	15/12/17	cross	
AX4	rCD2.2	CD2	0.4144	0.5525	1.025	15/12/17	cross	
AX4	rCD2.3	CD2	0.1873	0.625	1.025	15/12/17	cross	
AX4	rCD2.4	CD2	0.5434	0.5625	1.025	15/12/17	cross	
AX4	rCD2.5	CD2	0.7005	0.6775	1.025	15/12/17	cross	
AX4	rCD2.6	CD2	0.3244	NA	1.025	15/12/17	cross	
AX4	rCD3.1	CD3	0.4637	0.7775	1.025	15/12/17	cross	
AX4	rCD3.2	CD3	0.4324	2.55	1.025	15/12/17	cross	
AX4	rCD3.3	CD3	0.3695	0.77	1.025	15/12/17	cross	
AX4	rCD3.4	CD3	0.6046	1.6475	1.025	15/12/17	cross	
AX4	rCD3.5	CD3	0.6459	1.375	1.025	15/12/17	cross	
AX4	rCD3.6	CD3	0.3602	1.105	1.025	15/12/17	cross	
AX4	rCD4.1	CD4	0.4317	1.25	1.025	15/12/17	cross	
AX4	rCD4.2	CD4	0.3606	0.955	1.025	15/12/17	cross	
AX4	rCD4.3	CD4	0.4823	0.8375	1.025	15/12/17	cross	
AX4	rCD4.4	CD4	0.1879	NA	1.025	15/12/17	cross	
AX4	rCD4.5	CD4	0.1708	0.57	1.025	15/12/17	cross	
AX4	rCD4.6	CD4	0.209	1.6175	1.025	15/12/17	cross	
CD1	AX4_G	NONE	0.2365	0.3877	0.8102	11/12/17	cross	
CD1	rAX4.1	AX4	0.4178	0.89	1.43	11/12/17	cross	
CD1	rAX4.2	AX4	0.4552	1.5875	1.43	11/12/17	cross	
CD1	rAX4.3	AX4	0.4576	0.8575	1.43	11/12/17	cross	
CD1	rAX4.4	AX4	0.4124	1.205	1.43	11/12/17	cross	
CD1	rAX4.5	AX4	0.3823	0.7775	1.43	11/12/17	cross	
CD1	rAX4.6	AX4	0.4745	1.11	1.43	11/12/17	cross	
CD1	rCD1.1	CD1	0.5495	1.05	1.43	11/12/17	cross	
CD1	rCD1.2	CD1	0.5447	1.0425	1.43	11/12/17	cross	
CD1	rCD1.3	CD1	0.4903	0.8525	1.43	11/12/17	cross	
CD1	rCD1.4	CD1	0.5176	1.04	1.43	11/12/17	cross	
CD1	rCD1.5	CD1	0.5191	1.06	1.43	11/12/17	cross	
CD1	rCD1.6	CD1	0.5318	1.055	1.43	11/12/17	cross	
CD1	rCD2.1	CD2	0.5005	1.0075	1.43	11/12/17	cross	
CD1	rCD2.2	CD2	0.6747	1.9825	1.43	11/12/17	cross	
CD1	rCD2.3	CD2	0.6089	1.31	1.43	11/12/17	cross	
CD1	rCD2.4	CD2	0.5747	1.345	1.43	11/12/17	cross	
CD1	rCD2.5	CD2	0.5265	1.3625	1.43	11/12/17	cross	
CD1	rCD2.6	CD2	0.3321	0.2295	1.43	11/12/17	cross	
CD1	rCD3.1	CD3	0.6153	1.42	1.43	11/12/17	cross	
CD1	rCD3.2	CD3	0.3984	0.91	1.43	11/12/17	cross	
CD1	rCD3.3	CD3	0.4064	1.045	1.43	11/12/17	cross	
CD1	rCD3.4	CD3	0.3853	1.02	1.43	11/12/17	cross	
CD1	rCD3.5	CD3	0.3684	1.03	1.43	11/12/17	cross	
CD1	rCD3.6	CD3	0.401	0.89	1.43	11/12/17	cross	
CD1	rCD4.1	CD4	0.4434	1.125	1.43	11/12/17	cross	
CD1	rCD4.2	CD4	0.4958	1.1925	1.43	11/12/17	cross	
CD1	rCD4.3	CD4	0.4196	0.935	1.43	11/12/17	cross	
CD1	rCD4.4	CD4	0.3753	NA	1.43	11/12/17	cross	
CD1	rCD4.5	CD4	0.4899	1.41	1.43	11/12/17	cross	
CD1	rCD4.6	CD4	0.405	1.015	1.43	11/12/17	cross	
CD2	AX4_G	NONE	0.4566	0.7594	0.5156	12/12/17	cross	
CD2	rAX4.1	AX4	0.4464	0.4063	0.5156	12/12/17	cross	
CD2	rAX4.2	AX4	0.2982	0.295	0.5156	12/12/17	cross	
CD2	rAX4.3	AX4	0.4578	0.3969	0.5156	12/12/17	cross	
CD2	rAX4.4	AX4	0.4467	0.425	0.5156	12/12/17	cross	
CD2	rAX4.5	AX4	0.3974	0.3688	0.5156	12/12/17	cross	
CD2	rAX4.6	AX4	0.4027	0.3188	0.5156	12/12/17	cross	
CD2	rCD1.1	CD1	0.468	0.2878	0.5156	12/12/17	cross	
CD2	rCD1.2	CD1	0.4288	0.5875	0.5156	12/12/17	cross	
CD2	rCD1.3	CD1	0.4056	0.4063	0.5156	12/12/17	cross	
CD2	rCD1.4	CD1	0.3594	0.2822	0.5156	12/12/17	cross	
CD2	rCD1.5	CD1	0.3439	0.2475	0.5156	12/12/17	cross	
CD2	rCD1.6	CD1	0.3684	0.4344	0.5156	12/12/17	cross	
CD2	rCD2.1	CD2	0.4711	0.6281	0.5156	12/12/17	cross	
CD2	rCD2.2	CD2	0.5169	0.5438	0.5156	12/12/17	cross	
CD2	rCD2.3	CD2	0.4073	0.3188	0.5156	12/12/17	cross	
CD2	rCD2.4	CD2	0.4921	0.2803	0.5156	12/12/17	cross	
CD2	rCD2.5	CD2	0.5112	0.4063	0.5156	12/12/17	cross	
CD2	rCD2.6	CD2	0.2133	NA	0.5156	12/12/17	cross	
CD2	rCD3.1	CD3	0.4732	0.3594	0.5156	12/12/17	cross	
CD2	rCD3.2	CD3	0.416	0.2475	0.5156	12/12/17	cross	
CD2	rCD3.3	CD3	0.4235	0.3625	0.5156	12/12/17	cross	
CD2	rCD3.4	CD3	0.3952	0.1841	0.5156	12/12/17	cross	
CD2	rCD3.5	CD3	0.3956	0.35	0.5156	12/12/17	cross	
CD2	rCD3.6	CD3	0.4323	0.4406	0.5156	12/12/17	cross	
CD2	rCD4.1	CD4	0.4474	0.2538	0.5156	12/12/17	cross	
CD2	rCD4.2	CD4	0.3921	0.1147	0.5156	12/12/17	cross	
CD2	rCD4.3	CD4	0.4676	0.4063	0.5156	12/12/17	cross	
CD2	rCD4.4	CD4	0.2255	NA	0.5156	12/12/17	cross	
CD2	rCD4.5	CD4	0.3913	0.2016	0.5156	12/12/17	cross	
CD2	rCD4.6	CD4	0.2909	0.2209	0.5156	12/12/17	cross	
CD3	AX4_G	NONE	0.4553	0.4075	0.7925	13/12/17	cross	
CD3	rAX4.1	AX4	0.5215	0.6075	0.7925	13/12/17	cross	
CD3	rAX4.2	AX4	0.6604	1.49	0.7925	13/12/17	cross	
CD3	rAX4.3	AX4	0.5016	0.4525	0.7925	13/12/17	cross	
CD3	rAX4.4	AX4	0.44	0.5175	0.7925	13/12/17	cross	
CD3	rAX4.5	AX4	0.5416	0.4225	0.7925	13/12/17	cross	
CD3	rAX4.6	AX4	0.6762	0.91	0.7925	13/12/17	cross	
CD3	rCD1.1	CD1	0.5431	0.7175	0.7925	13/12/17	cross	
CD3	rCD1.2	CD1	0.5455	0.8375	0.7925	13/12/17	cross	
CD3	rCD1.3	CD1	0.4479	0.64	0.7925	13/12/17	cross	
CD3	rCD1.4	CD1	0.5388	1.1625	0.7925	13/12/17	cross	
CD3	rCD1.5	CD1	0.5502	0.5425	0.7925	13/12/17	cross	
CD3	rCD1.6	CD1	0.6118	0.9425	0.7925	13/12/17	cross	
CD3	rCD2.1	CD2	0.4024	0.6925	0.7925	13/12/17	cross	
CD3	rCD2.2	CD2	0.4864	0.9675	0.7925	13/12/17	cross	
CD3	rCD2.3	CD2	0.5076	0.805	0.7925	13/12/17	cross	
CD3	rCD2.4	CD2	0.5347	0.8025	0.7925	13/12/17	cross	
CD3	rCD2.5	CD2	0.5843	1.07	0.7925	13/12/17	cross	
CD3	rCD2.6	CD2	0.3935	0.0653	0.7925	13/12/17	cross	
CD3	rCD3.1	CD3	0.506	0.6075	0.7925	13/12/17	cross	
